pais,Covaxin,EpiVacCorona,Johnson&Johnson,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,Sinopharm/Wuhan,Sinovac,Sputnik V
Afghanistan,0,0,0,0,1,0,0,0,0,0
Albania,0,0,0,0,0,1,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,1
Andorra,0,0,0,0,0,1,0,0,0,0
Angola,0,0,0,0,1,0,0,0,0,0
Anguilla,0,0,0,0,1,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,1,0,0,0,0,0
Argentina,0,0,0,0,1,0,1,0,0,1
Australia,0,0,0,0,1,1,0,0,0,0
Austria,0,0,0,1,1,1,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,1,0
Bahamas,0,0,0,0,1,0,0,0,0,0
Bahrain,0,0,0,0,1,1,1,0,0,1
Bangladesh,0,0,0,0,1,0,0,0,0,0
Barbados,0,0,0,0,1,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,1
Belgium,0,0,0,1,1,1,0,0,0,0
Belize,0,0,0,0,1,0,0,0,0,0
Bermuda,0,0,0,0,0,1,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,1
Brazil,0,0,0,0,1,0,0,0,1,0
Bulgaria,0,0,0,1,1,1,0,0,0,0
Cambodia,0,0,0,0,0,0,1,0,0,0
Canada,0,0,0,1,1,1,0,0,0,0
Cayman Islands,0,0,0,0,0,1,0,0,0,0
Chile,0,0,0,0,0,1,0,0,1,0
China,0,0,0,0,0,0,1,1,1,0
Colombia,0,0,0,0,0,1,0,0,1,0
Costa Rica,0,0,0,0,0,1,0,0,0,0
Cote d'Ivoire,0,0,0,0,1,0,0,0,0,0
Croatia,0,0,0,0,0,1,0,0,0,0
Cyprus,0,0,0,0,0,1,0,0,0,0
Czechia,0,0,0,1,1,1,0,0,0,0
Denmark,0,0,0,1,1,1,0,0,0,0
Dominica,0,0,0,0,1,0,0,0,0,0
Dominican Republic,0,0,0,0,1,0,0,0,1,0
Ecuador,0,0,0,0,0,1,0,0,0,0
Egypt,0,0,0,0,0,0,1,0,0,0
El Salvador,0,0,0,0,1,0,0,0,0,0
England,0,0,0,0,1,1,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,1,0,0,0
Estonia,0,0,0,1,1,1,0,0,0,0
Faeroe Islands,0,0,0,1,0,1,0,0,0,0
Falkland Islands,0,0,0,0,1,0,0,0,0,0
Finland,0,0,0,1,1,1,0,0,0,0
France,0,0,0,1,1,1,0,0,0,0
Germany,0,0,0,1,1,1,0,0,0,0
Ghana,0,0,0,0,1,0,0,0,0,0
Gibraltar,0,0,0,0,0,1,0,0,0,0
Greece,0,0,0,1,1,1,0,0,0,0
Greenland,0,0,0,0,0,1,0,0,0,0
Grenada,0,0,0,0,1,0,0,0,0,0
Guatemala,0,0,0,1,0,0,0,0,0,0
Guernsey,0,0,0,0,0,1,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,1
Guyana,0,0,0,0,1,0,0,0,0,0
Honduras,0,0,0,1,1,0,0,0,0,0
Hong Kong,0,0,0,0,0,1,0,0,1,0
Hungary,0,0,0,1,1,1,1,0,0,1
Iceland,0,0,0,1,1,1,0,0,0,0
India,1,0,0,0,1,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,1,0
Iran,0,0,0,0,0,0,0,0,0,1
Ireland,0,0,0,1,1,1,0,0,0,0
Isle of Man,0,0,0,0,1,1,0,0,0,0
Israel,0,0,0,1,0,1,0,0,0,0
Italy,0,0,0,1,1,1,0,0,0,0
Jamaica,0,0,0,0,1,0,0,0,0,0
Japan,0,0,0,0,0,1,0,0,0,0
Jersey,0,0,0,0,1,1,0,0,0,0
Jordan,0,0,0,0,0,1,1,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,1
Kenya,0,0,0,0,1,0,0,0,0,0
Kuwait,0,0,0,0,0,1,0,0,0,0
Laos,0,0,0,0,0,0,1,0,0,1
Latvia,0,0,0,1,1,1,0,0,0,0
Lebanon,0,0,0,0,0,1,0,0,0,0
Liechtenstein,0,0,0,1,0,1,0,0,0,0
Lithuania,0,0,0,1,1,1,0,0,0,0
Luxembourg,0,0,0,1,1,1,0,0,0,0
Macao,0,0,0,0,0,1,1,0,0,0
Malawi,0,0,0,0,1,0,0,0,0,0
Malaysia,0,0,0,0,0,1,0,0,1,0
Maldives,0,0,0,0,1,0,0,0,0,0
Malta,0,0,0,0,0,1,0,0,0,0
Mauritius,0,0,0,0,1,0,0,0,0,0
Mexico,0,0,0,0,1,1,0,0,0,1
Moldova,0,0,0,0,1,0,0,0,0,0
Monaco,0,0,0,0,0,1,0,0,0,0
Mongolia,0,0,0,0,1,0,0,0,0,0
Montenegro,0,0,0,0,0,0,1,0,0,1
Montserrat,0,0,0,0,1,0,0,0,0,0
Morocco,0,0,0,0,1,0,1,0,0,0
Mozambique,0,0,0,0,0,0,1,0,0,0
Myanmar,0,0,0,0,1,0,0,0,0,0
Nepal,0,0,0,0,1,0,0,0,0,0
Netherlands,0,0,0,1,1,1,0,0,0,0
New Zealand,0,0,0,0,0,1,0,0,0,0
Nigeria,0,0,0,0,1,0,0,0,0,0
North Macedonia,0,0,0,0,0,1,0,0,0,0
Northern Cyprus,0,0,0,0,0,1,0,0,1,0
Northern Ireland,0,0,0,0,1,1,0,0,0,0
Norway,0,0,0,1,1,1,0,0,0,0
Oman,0,0,0,0,1,1,0,0,0,0
Pakistan,0,0,0,0,1,0,1,0,0,1
Panama,0,0,0,0,0,1,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,1
Peru,0,0,0,0,0,0,1,0,0,0
Philippines,0,0,0,0,0,0,0,0,1,0
Poland,0,0,0,1,1,1,0,0,0,0
Portugal,0,0,0,1,0,1,0,0,0,0
Qatar,0,0,0,0,0,1,0,0,0,0
Romania,0,0,0,1,1,1,0,0,0,0
Russia,0,1,0,0,0,0,0,0,0,1
Rwanda,0,0,0,1,1,1,0,0,0,0
Saint Helena,0,0,0,0,1,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,1,0,0,0,0,0
Saint Lucia,0,0,0,0,1,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,1,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0,1
Saudi Arabia,0,0,0,0,1,1,0,0,0,0
Scotland,0,0,0,0,1,1,0,0,0,0
Senegal,0,0,0,0,0,0,1,0,0,0
Serbia,0,0,0,0,1,1,1,0,0,1
Seychelles,0,0,0,0,1,0,1,0,0,0
Singapore,0,0,0,1,0,1,0,0,0,0
Slovakia,0,0,0,0,0,1,0,0,0,0
Slovenia,0,0,0,0,1,1,0,0,0,0
South Africa,0,0,1,0,0,0,0,0,0,0
South Korea,0,0,0,0,1,1,0,0,0,0
Spain,0,0,0,1,1,1,0,0,0,0
Sri Lanka,0,0,0,0,1,0,0,0,0,0
Suriname,0,0,0,0,1,0,0,0,0,0
Sweden,0,0,0,0,1,1,0,0,0,0
Switzerland,0,0,0,1,0,1,0,0,0,0
Thailand,0,0,0,0,1,0,0,0,1,0
Trinidad and Tobago,0,0,0,0,1,0,0,0,0,0
Tunisia,0,0,0,0,0,1,0,0,0,1
Turkey,0,0,0,0,0,0,0,0,1,0
Turks and Caicos Islands,0,0,0,0,0,1,0,0,0,0
Uganda,0,0,0,0,1,0,0,0,0,0
Ukraine,0,0,0,0,1,0,0,0,0,0
United Arab Emirates,0,0,0,0,1,1,1,1,0,1
United Kingdom,0,0,0,0,1,1,0,0,0,0
United States,0,0,1,1,0,1,0,0,0,0
Uruguay,0,0,0,0,0,1,0,0,1,0
Venezuela,0,0,0,0,0,0,0,0,0,1
Vietnam,0,0,0,0,1,0,0,0,0,0
Wales,0,0,0,0,1,1,0,0,0,0
Zimbabwe,0,0,0,0,0,0,1,0,0,0
